ID_Offre,Titre_Poste,Secteur,Entreprise,Ville,Region,Type_Contrat,Experience_Requise,Niveau_Etudes,Modalite_Travail,Salaire_Mensuel_DH,Langues_Requises,Competences_Cles,Date_Publication,Delai_Recrutement_Jours
OFF-0252,Ingénieur civil,BTP,Orange Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,cdi,Confirmé,Bac+3,HYBRIDE,10800,Français; Anglais; Arabe,Revit; MS Project; Gestion de chantier; AutoCAD; Béton armé,2024-10-20,13
OFF-0253,PM,IT & Tech,DataVision Maroc,Tanger-Med,Tanger-Tétouan-Al Hoceïma,CONTRAT CDI,8ans+,Bac+8 / Doctorat,Mixte,26800,Français; Anglais,AWS; Azure; Docker,2024-08-02,31
OFF-0254,FRONTEND DEVELOPER,IT & Tech,Peugeot Maroc,Casablanca,,Cdi,2 à 5 ans,Bac+5 / Master,Hybride,10700 DH,Français; Anglais; Arabe,Linux; TensorFlow; Git; React; MongoDB,2024-12-02,40
OFF-0255,CONDUCTEUR TRAVAUX,BTP,CIH Bank,Caza,Casablanca-Settat,C.D.I,2/5 ans,Bac+5 / Master,presentiel,9300,Anglais,AutoCAD - Revit - MS Project - Gestion de chantier,14 December 2024,999
OFF-0256,Docteur,Santé,Vivo Energy,Tanger,Tanger-Tétouan-Al Hoceïma,freelancer,5-8ans,Bac+3,presentiel,34100,Français,Diagnostic; Éthique médicale; Soins infirmiers,2025-02-24,43
OFF-0257,BACKEND DEVELOPER,IT & Tech,Managem,Tanger-Med,,CDI ,Junior,Bac+5 / Master,En présentiel,8600,Anglais,TensorFlow - SQL,2024-05-25,22
OFF-0258,INFIRMIER,Santé,Ernst & Young Maroc,Fes,Fès-Meknès,CDI ,Junior,Bac+3,Hybride,5600,Français,Soins infirmiers; Diagnostic; Pharmacologie; Éthique médicale,2024-04-13,
OFF-0259,Developpeur FullStack,IT & Tech,Alten Maroc,CASABLANCA,Casablanca-Settat,CONTRAT CDI,junior,Bac+5 / Master,PRÉSENTIEL,10k,Français; Arabe,"Docker, REST API, TensorFlow, Azure, Agile/Scrum",2024-06-11,30
OFF-0260,Génie Civil,BTP,CIH Bank,CASABLANCA,Casablanca-Settat,freelance,2/5 ans,Bac+3,hybride,12300 ,Français; Arabe,AutoCAD; Revit; MS Project,2024-06-16,18
OFF-0261,Administrateur sys,IT & Tech,TechMa Solutions,fès,Fès-Meknès,contrat CDD,8ans+,Bac+5 / Master,Remote partiel,15100,Anglais,"TensorFlow, Kubernetes, AWS, MongoDB",08-25-2024,999
OFF-0262,Power BI Developer,IT & Tech,,CASABLANCA,Casablanca-Settat,Indépendant,0-2ans,Bac+2,Télétravail,,Français; Anglais,Docker; React; Azure; JavaScript; Java,2024-08-16,31
OFF-0263,Guide,Tourisme,KPMG Maroc,Casablanca-Settat,Casablanca-Settat,contrat CDI,débutant,,Work from home,4000,Français; Arabe,Pack Office; Gestion réservations; Accueil client; Langues étrangères,2024-08-24,16
OFF-0264,Community manager,Commerce,Orange Maroc,Rabat-Salé,Rabat-Salé-Kénitra,CDI ,confirmé,Bac+5 / Master,PRÉSENTIEL,6800,Anglais,Négociation; SEO; Google Ads; CRM,2025-02-06,42
OFF-0265,comptable,Finance & RH,Vivo Energy,Casa,,freelancer,5-8ans,Bac+5 / Master,TÉLÉTRAVAIL,9800,Français; Anglais; Arabe,Audit; SAP,2024-05-10,44
OFF-0266,Responsable RH,Finance & RH,Orange Maroc,Marrakch,Marrakech-Safi,CONTRAT CDI,0/2 ans,Bac+3,Présentiel,6000,,Paie / Consolidation / Excel avancé / IFRS,2025-01-28,8 jours
OFF-0267,Auditeur,Finance & RH,Akdital,AGADIR,Souss-Massa,CDI ,senior,,présentiel,14100 DH,Français; Anglais,SAP; IFRS; Consolidation,,24 jours
OFF-0268,tech maintenance,Industrie,Université Hassan II,Marrakch,Marrakech-Safi,CDI ,confirmé,Bac+5 / Master,PRÉSENTIEL,7700,Français; Anglais,Lean Manufacturing; AutoCAD; ISO 9001,2024-12-17,-3
OFF-0269,Paie Manager,Finance & RH,Ernst & Young Maroc,Casa,Casablanca-Settat,freelance,Senior,Bac+3,Télétravail,14100 ,Français; Anglais; Arabe,"SAGE, Audit",09/10/2024,10
OFF-0269,Paie Manager,Finance & RH,Ernst & Young Maroc,Casa,Casablanca-Settat,freelance,Senior,Bac+3,Télétravail,14100 ,Français; Anglais; Arabe,"SAGE, Audit",09/10/2024,10
OFF-0271,data scientist,IT & Tech,CIH Bank,Rabat-Salé,Rabat-Salé-Kénitra,cdi,confirmé,Bac+5 / Master,Hybride,16300,Français,MongoDB; Power BI,09/05/2024,34
OFF-0272,Ingénieur réseau,IT & Tech,Maroc Telecom,CASABLANCA,Casablanca-Settat,Cdd,2/5 ans,BAC+5 / MASTER,Présentiel,10100,Français; Anglais,MongoDB; SQL; Node.js; AWS; Java,2025-01-07,7 jours
OFF-0273,Paie Manager,,Lafarge Holcim,Tanger,Tanger-Tétouan-Al Hoceïma,Indépendant,Expert,Bac+5 / Master,hybride,16100,Français; Arabe,Excel avancé; SAGE; Audit,2024-03-17,8
OFF-0274,comptable,Finance & RH,Orange Maroc,Casablanca-Settat,Casablanca-Settat,CDD ,junior,Bac+3,Présentiel,,Français; Anglais; Arabe,SAGE; Consolidation; IFRS; Paie; Excel avancé,2024-12-15,36
OFF-0275,développeur full-stack,IT & Tech,KPMG Maroc,CASABLANCA,,FREELANCE,0/2 ans,Bac+5 / Master,Hybride,12300,Français,Linux; React; Git; Kubernetes,,40
OFF-0276,Médecin,Santé,Label'Vie,CASABLANCA,Casablanca-Settat,CONTRAT CDI,8ans+,Bac+3,PRÉSENTIEL,30700,Français; Anglais,Diagnostic; Pharmacologie; Éthique médicale; Soins infirmiers,2024-06-17,40
OFF-0277,TECHNICIEN MAINTENANCE,Industrie,Deloitte Maroc,MEKNÈS,Fès-Meknès,CDI ,0-2 ans,,teletravail,4k,Français; Anglais; Arabe,PLC/SCADA; ISO 9001; AutoCAD,2024-07-31,33
OFF-0278,ing génie civil,BTP,Capgemini Maroc,Fez,Fès-Meknès,Free-lance,Junior,Bac+2,PRÉSENTIEL,11500,Français; Anglais; Arabe,"MS Project, Gestion de chantier, Revit, Béton armé",2024-07-18,18
OFF-0279,ing production,Industrie,Akdital,agadir,Souss-Massa,Stage PFE,5 à 8 ans,Bac+2,En présentiel,4564,,AMDEC; SolidWorks; PLC/SCADA,2024-11-14,34
OFF-0280,Contrôleur gestion,Finance & RH,BMCE Bank,rabat,Rabat-Salé-Kénitra,CDD ,0-2 ans,Bac+5 / Master,Work from home,7800,Français; Arabe,Paie; SAGE; Audit; Droit du travail; IFRS,2024-07-12,18
OFF-0281,INGÉNIEUR GÉNIE CIVIL,BTP,HPS,TANGER,Tanger-Tétouan-Al Hoceïma,cdd,2 à 5 ans,Bac+5 / Master,Hybride,8600,Français; Anglais,Béton armé; MS Project; AutoCAD; Gestion de chantier; Revit,2024-12-09,15
OFF-0282,pharmacien,Santé,Atlantic Digital,TANGER,Tanger-Tétouan-Al Hoceïma,contrat CDI,Confirmé,Bac+2,sur site,13400,Français; Anglais,"Soins infirmiers, Éthique médicale, Pharmacologie, Diagnostic",2024-03-24,31
OFF-0283,Comptable Général,Finance & RH,Orange Maroc,FÈS,,Free-lance,5 à 8 ans,Bac+5 / Master,presentiel,9700-11640,Français; Arabe,SAGE - Droit du travail - Audit,2025-01-02,41
OFF-0284,Chargé Commercial,Commerce,KPMG Maroc,Casa,,contrat CDI,8+,Bac+3,présentiel,12300,Anglais,Excel; Google Ads; Salesforce,2024-08-13,19
OFF-0285,DATA ENGINEER,IT & Tech,SII Group,Tanger,Tanger-Tétouan-Al Hoceïma,contrat CDI,0/2 ans,Bac+5 / Master,Sur site,10900,Anglais,Java; Git,2024-04-13,43
OFF-0286,Réceptionniste hôtel,Tourisme,Ernst & Young Maroc,Tanger-Med,,CONTRAT CDI,confirmé,Bac+2,Hybride,5100,Anglais,Accueil client; Gestion réservations; Langues étrangères; Pack Office,2024-11-13,
OFF-0287,Chef Projet IT,IT & Tech,DataVision Maroc,Casa,Casablanca-Settat,Stagiaire,2-5 ans,Sans diplôme requis,PRÉSENTIEL,4k,Anglais,Git; Agile/Scrum,2024-12-29,
OFF-0288,Conducteur travaux,BTP,BMCE Bank,Casablanca-Settat,Casablanca-Settat,C.D.D,0/2 ans,Bac+3,hybride,6100,Français,Revit; AutoCAD,01-29-2025,41
OFF-0289,ml engineer,IT & Tech,Inwi,MEKNÈS,Fès-Meknès,CDI ,débutant,Bac+3,Présentiel,12900,Français; Arabe,Java; Node.js,2024-08-23,14
OFF-0290,UX UI Designer,IT & Tech,Marjane,Casablanca-Settat,Casablanca-Settat,CDD,5-8ans,Bac+3,PRÉSENTIEL,12600,Français,Linux; Git; React; REST API; Python,2024-11-30,999
OFF-0291,Responsable qualité,Industrie,CGI Maroc,Oujda,Oriental,CDI,2/5 ans,Bac+3,présentiel,11k,Anglais,SolidWorks; ISO 9001; PLC/SCADA; AutoCAD; Lean Manufacturing,2024-06-17,20
OFF-0292,BACKEND DEVELOPER,IT & TECH,Atlantic Digital,Tanjah,Tanger-Tétouan-Al Hoceïma,Cdi,Senior,Bac+5 / Master,Mixte,12800,Anglais,TypeScript; Azure; JavaScript; Java; SQL,18/11/2024,27
OFF-0293,Marketer Digital,Commerce,akdital,Tanger,Tanger-Tétouan-Al Hoceïma,stage,8+,Bac+3,hybride,3305,Français; Anglais; Arabe,Négociation; SEO; Email Marketing,2024-11-05,21
OFF-0294,chef de projet,IT & Tech,Total Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,cdi,5 à 8 ans,Bac+5 / Master,TÉLÉTRAVAIL,22000,Français; Anglais; Arabe,REST API - JavaScript - Docker,2024-04-02,17
OFF-0295,Resp. Qualité,Industrie,HPS,Tanger,Tanger-Tétouan-Al Hoceïma,C.D.I,confirmé,Bac+3,présentiel,9500,Français; Anglais,AutoCAD; SolidWorks; AMDEC; Lean Manufacturing; PLC/SCADA,2025-01-22,38
OFF-0296,Comptable Général,Finance & RH,Alten Maroc,Fes,Fès-Meknès,CONTRAT CDI,5-8 ans,Bac+5 / Master,Mixte,7600,"Français, Arabe",Paie; Consolidation; SAGE,2025-02-07,14
OFF-0297,DATA SCIENTIST,IT & Tech,Université Hassan II,tanger,Tanger-Tétouan-Al Hoceïma,CONTRAT CDI,2 à 5 ans,Bac+2,Télétravail,14500,Français,"Java, REST API, Git, Node.js, MongoDB",2025-01-19,9
OFF-0298,Cybersécurité,IT & Tech,Attijariwafa Bank,Rabat-Salé,Rabat-Salé-Kénitra,CDI ,0-2ans,BAC+5 / MASTER,PRÉSENTIEL,,Français; Arabe,AWS / MongoDB / Azure / Java,2024-10-06,
OFF-0299,Marketing Digital,Commerce,,Casablanca-Settat,Casablanca-Settat,C.D.I,expert,Bac+3,sur site,12700,Français; Arabe,"Excel, Analyse de marché, Google Ads",2025-01-18,7
OFF-0300,chef de chantier,BTP,ocp group,Marrakesh,Marrakech-Safi,C.D.I,expert,Bac+5 / Master,HYBRIDE,14000,Français; Anglais; Arabe,Béton armé; AutoCAD; MS Project,2024-08-24,30
OFF-0301,ing production,Industrie,Alten Maroc,Tanjah,Tanger-Tétouan-Al Hoceïma,Cdd,Expert,Bac+3,En présentiel,14600,Français; Anglais,SolidWorks; PLC/SCADA,2024-07-15,13
OFF-0301,ing production,Industrie,Alten Maroc,Tanjah,Tanger-Tétouan-Al Hoceïma,Cdd,Expert,Bac+3,En présentiel,14600,Français; Anglais,SolidWorks; PLC/SCADA,2024-07-15,13
OFF-0303,Ingénieur réseau,IT & Tech,Attijariwafa Bank,Tanger-Med,,Cdd,Expérimenté,Bac+8 / Doctorat,Présentiel,14k,Anglais,Node.js - Power BI - AWS - Azure,2024-03-28,37
OFF-0304,Réceptionniste hôtel,Tourisme,Lydec,rabat,Rabat-Salé-Kénitra,CDD ,confirmé,,Mixte,4400,Français,Langues étrangères; Gestion réservations; Accueil client; Pack Office,2024-12-18,22
OFF-0305,ANALYSTE FINANCIER,Finance & RH,TechMa Solutions,Marrakch,,CDI,2-5ans,Sans diplôme requis,Sur site,12600,Français; Arabe,Paie; Consolidation; IFRS; Excel avancé; Droit du travail,2024-09-23,37
OFF-0306,Pharmacien d'officine,Santé,Attijariwafa Bank,Casablanca-Settat,Casablanca-Settat,C.D.I,0/2 ans,Sans diplôme requis,En présentiel,10600,,Soins infirmiers; Pharmacologie; Éthique médicale,2024-09-16,24
OFF-0307,backend developer,IT & Tech,KPMG Maroc,Caza,Casablanca-Settat,contrat CDD,2-5 ans,Bac+5 / Master,Sur site,9100,Anglais,"REST API, Agile/Scrum, AWS, MongoDB, Git",2025-02-05,16
OFF-0308,Guide,Tourisme,Peugeot Maroc,Rabat,Rabat-Salé-Kénitra,CDI ,confirmé,Bac+3,Remote partiel,5k,Français,Langues étrangères; Gestion réservations,2024-12-22,9
OFF-0309,GUIDE TOURISTIQUE,Tourisme,Alten Maroc,Casablanca,,Cdi,5-8 ans,Bac+5 / Master,teletravail,6k,Français; Arabe,LANGUES ÉTRANGÈRES; GESTION RÉSERVATIONS; PACK OFFICE; ACCUEIL CLIENT,2024-12-26,43
OFF-0310,Ingénieur civil,BTP,Inwi,MEKNÈS,Fès-Meknès,freelance,confirmé,Bac+5 / Master,Remote partiel,12600,Anglais,Gestion de chantier; Revit; Béton armé; MS Project; AutoCAD,2024-11-09,38
OFF-0311,DATA SCIENTIST,IT & Tech,managem,CASABLANCA,Casablanca-Settat,cdi,0-2 ans,Bac+5 / Master,HYBRIDE,10300,Français; Anglais,Python; Azure; TypeScript; Kubernetes,2024-12-11,32
,,,,,,,,,,,,,,
OFF-0313,Réceptionniste hôtel,Tourisme,SII Group,CASABLANCA,Casablanca-Settat,CONTRAT CDI,débutant,Bac+5 / Master,Mixte,4100,Français,Gestion réservations / Pack Office,2024-08-27,15
OFF-0314,CYBERSECURITE,IT & Tech,KPMG Maroc,Marrakesh,Marrakech-Safi,CDI,0 à 2 ans,Bac+3,PRÉSENTIEL,10900-13080,,"Agile/Scrum, React, SQL, Docker",2024-09-10,7
OFF-0315,CM,Commerce,Capgemini Maroc,casablanca,Casablanca-Settat,cdi,confirmé,Sans diplôme requis,Hybride,6900,Anglais,SEO; Salesforce; Excel; Négociation; Google Ads,2024-05-10,31
OFF-0316,RESPONSABLE COMMERCIAL,Commerce,OCP Group,Casa,Casablanca-Settat,contrat CDI,Confirmé,Bac+3,PRÉSENTIEL,11300,Français; Anglais,SEO; Salesforce; Excel; Négociation; Analyse de marché,2024-04-27,
OFF-0317,frontend developer,IT & Tech,vivo energy,RABAT,Rabat-Salé-Kénitra,cdi,Confirmé,Sans diplôme requis,Hybrid,10200,Français,JavaScript; TypeScript,2024-07-18,13
OFF-0318,MARKETING DIGITAL,Commerce,Attijariwafa Bank,AGADIR,Souss-Massa,CDD ,2 à 5 ans,Sans diplôme requis,TÉLÉTRAVAIL,7600,Français,Google Ads; SEO; Excel; Négociation; CRM,2024-04-17,43
OFF-0319,UXUI Designer,IT & Tech,KPMG Maroc,Tanger-Med,Tanger-Tétouan-Al Hoceïma,Stage,Confirmé,Bac+2,Mixte,3192,Français,"SQL, Azure, Node.js, Linux",09-03-2024,26
OFF-0320,Directeur Commercial,Commerce,SII Group,CASABLANCA,Casablanca-Settat,Cdi,confirmé,Bac+5 / Master,présentiel,12600,Français; Anglais; Arabe,"Email Marketing, SEO",2025-02-12,34
OFF-0321,UXUI Designer,IT & Tech,BMCE Bank,OUJDA,Oriental,Cdd,0/2 ans,Bac+2,En présentiel,6900 ,Français; Anglais; Arabe,Azure; SQL,2024-07-22,41
OFF-0322,Machine Learning Engineer,IT & Tech,RAM,tanger,,CDI ,2-5ans,Bac+5 / Master,HYBRIDE,,Français; Anglais; Arabe,SQL - Docker - TypeScript - Node.js,2024-05-01,43
OFF-0323,Chef Projet IT,IT & Tech,KPMG Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,contrat CDD,5-8 ans,Bac+5 / Master,Full remote,17800-21360,Français,Linux; Git; REST API,02-28-2025,25
OFF-0324,Analyste Finance,Finance & RH,SQLI Maroc,fès,Fès-Meknès,CDD ,Senior,Bac+3,HYBRIDE,13800,Français; Anglais; Arabe,Consolidation; IFRS; SAP,2024-12-02,15
OFF-0325,CYBERSECURITE,IT & Tech,TechMa Solutions,Casablanca-Settat,Casablanca-Settat,cdd,2-5ans,Bac+3,Hybrid,13700 DH,Français; Anglais,Node.js; AWS; Linux,2024-12-09,26
OFF-0326,Analyste Finance,Finance & RH,ONCF,CASABLANCA,Casablanca-Settat,CDD,Confirmé,Bac+2,HYBRIDE,11000,Anglais,Excel avancé / SAP / Paie / Audit,2024-08-18,24
OFF-0327,Technicien maintenance,Industrie,BMCE Bank,OUJDA,Oriental,contrat CDD,0/2 ans,Sans diplôme requis,sur site,5200,Français; Anglais; Arabe,ISO 9001 - Lean Manufacturing - AMDEC - AutoCAD,2024-05-08,34
OFF-0328,Cyber Sécurité Analyst,IT & Tech,Vivo Energy,Casablanca,,CDI,2-5 ans,Bac+3,hybride,15400 DH,Français; Anglais; Arabe,MONGODB; DOCKER,2024-11-27,43
OFF-0329,Project Manager IT,IT & Tech,Lydec,MEKNÈS,Fès-Meknès,contrat CDI,Confirmé,Bac+5 / Master,En présentiel,15500,Français,TensorFlow; Kubernetes; SQL; JavaScript; React,2024-07-16,
OFF-0330,devops engineer,IT & Tech,Capgemini Maroc,RABAT,Rabat-Salé-Kénitra,STAGE,2/5 ans,Bac+2,présentiel,3470,Français; Anglais; Arabe,Java; AWS; TypeScript,14/08/2024,8
OFF-0331,PHARMACIEN,Santé,Accenture Maroc,Tanger-Med,Tanger-Tétouan-Al Hoceïma,Freelance,0 à 2 ans,Bac+5 / Master,hybride,13400,Français,,2024-11-12,18
OFF-0332,Resp. Qualité,Industrie,BMCE Bank,Agadir-Ida,Souss-Massa,CONTRAT CDI,0-2 ans,Bac+5 / Master,hybride,7800,Français; Anglais; Arabe,AutoCAD; Lean Manufacturing; SolidWorks; AMDEC,2024-05-02,32
OFF-0333,ANALYSTE FINANCIER,Finance & RH,Orange Maroc,Tanger-Med,Tanger-Tétouan-Al Hoceïma,CDI ,senior,Bac+3,Présentiel,17000,Français; Anglais,IFRS; Excel avancé; Paie; Consolidation; Audit,2024-06-21,27 jours
OFF-0334,backend developer,IT & Tech,Label'Vie,Oujda-Angad,,C.D.I,junior,Bac+2,HYBRIDE,9700,Français / Anglais / Arabe,PYTHON; JAVASCRIPT; DOCKER; GIT; JAVA,2024-05-02,
OFF-0335,Développeur FrontEnd,IT & TECH,Vivo Energy,CASABLANCA,,Cdi,2-5 ans,Bac+2,En présentiel,10100,Français; Anglais; Arabe,"Docker, Power BI, Node.js, Git",2024-07-31,7
OFF-0336,Commercial,Commerce,TechMa Solutions,Marrakech,Marrakech-Safi,Indépendant,Expert,Bac+8 / Doctorat,sur site,15600,Français; Arabe,CRM; Analyse de marché,,999
OFF-0337,DRH,Finance & RH,Capgemini Maroc,Kenitra,Rabat-Salé-Kénitra,Stagiaire,2-5 ans,Bac+2,PRÉSENTIEL,4525,Français; Anglais; Arabe,Paie; SAP; Audit,02-06-2025,42
OFF-0338,chef de projet,IT & Tech,Managem,AGADIR,,freelance,5/8 ans,Bac+2,Présentiel,23300,Français; Anglais,SQL; Java; MongoDB,2024-07-08,29
OFF-0339,Ingenieur Réseaux,IT & Tech,OCP Group,AGADIR,Souss-Massa,FREELANCE,Débutant,Bac+5 / Master,Hybrid,10400,Anglais,React; Kubernetes; Docker; AWS; Agile/Scrum,2024-08-25,32
OFF-0339,Ingenieur Réseaux,IT & Tech,OCP Group,AGADIR,Souss-Massa,FREELANCE,Débutant,Bac+5 / Master,Hybrid,10400,Anglais,React; Kubernetes; Docker; AWS; Agile/Scrum,2024-08-25,32
OFF-0341,analyste financier,Finance & RH,Ernst & Young Maroc,RABAT,Rabat-Salé-Kénitra,C.D.I,Confirmé,Sans diplôme requis,TÉLÉTRAVAIL,13200,Français; Anglais; Arabe,SAP; Paie; IFRS,2024-05-31,44
OFF-0342,Contrôleur gestion,Finance & RH,ALTEN MAROC,CASABLANCA,Casablanca-Settat,Alternance,Senior,Bac+5 / Master,presentiel,5928,Français; Anglais,Consolidation; IFRS; Paie; Droit du travail,2024-08-29,999
OFF-0343,Auditeur,Finance & RH,Akdital,Casablanca,Casablanca-Settat,cdi,8ans+,Bac+8 / Doctorat,Remote,21100,Français; Arabe,,2024-03-10,9
OFF-0344,ing production,,MAROC TELECOM,Casa,Casablanca-Settat,contrat CDI,Expert,Bac+5 / Master,En présentiel,15900,Français; Anglais,,2024-10-17,44
OFF-0345,auditeur financier,Finance & RH,HPS,fès,Fès-Meknès,CONTRAT CDI,5 à 8 ans,Bac+3,hybride,13000,Français; Arabe,Consolidation; SAGE; SAP,2024-03-24,20
OFF-0346,Controller,Finance & RH,Carrefour Maroc,marrakech,Marrakech-Safi,Cdi,8ans+,Bac+2,teletravail,18300,Anglais,SAP; Excel avancé; IFRS,2025-02-15,35
OFF-0347,ml engineer,IT & Tech,CGI Maroc,RABAT,Rabat-Salé-Kénitra,CDI ,Confirmé,Bac+5 / Master,Télétravail,16500,Français; Arabe,AWS; Azure; TensorFlow; Git,2024-05-22,11
OFF-0348,Directeur Commercial,Commerce,UM6P,Rabat-Salé,Rabat-Salé-Kénitra,Stage,confirmé,Bac+5 / Master,Sur site,4278,Anglais,Salesforce; SEO; Négociation,25 September 2024,42
OFF-0349,RESPONSABLE COMMERCIAL,Commerce,TechMa Solutions,Fès,Fès-Meknès,CONTRAT CDI,5 à 8 ans,Bac+3,Sur site,16200,"Français, Arabe","SEO, Négociation, Email Marketing, Analyse de marché, CRM",2024-11-01,23
OFF-0350,RESPONSABLE RH,Finance & RH,UM6P,Oujda,Oriental,contrat CDI,Senior,Bac+2,HYBRIDE,10600,Français; Anglais,IFRS - SAGE,2024-08-18,45
OFF-0351,Paie Manager,Finance & RH,Attijariwafa Bank,MEKNÈS,Fès-Meknès,contrat CDD,Confirmé,BAC+5 / MASTER,Mixte,7000 ,Français,Consolidation; SAP; Audit; Excel avancé,2024-12-02,40
OFF-0352,ux-ui designer,IT & Tech,UM6P,Casa,Casablanca-Settat,C.D.I,2-5 ans,Bac+3,Work from home,11300,Français; Anglais,Kubernetes; Power BI; Python,2025-02-02,25
OFF-0353,Chef Projet IT,IT & Tech,Label'Vie,RABAT,Rabat-Salé-Kénitra,CDD,Confirmé,Sans diplôme requis,Sur site,13200,Français; Arabe,Agile/Scrum - JavaScript - React - Power BI,2025-02-05,33
OFF-0354,Développeur BackEnd,IT & Tech,SQLI Maroc,Caza,Casablanca-Settat,cdi,2 à 5 ans,BAC+5 / MASTER,Sur site,,Français; Anglais; Arabe,JavaScript / REST API,31/07/2024,9
OFF-0355,medecin generaliste,Santé,Deloitte Maroc,Tanger,Tanger-Tétouan-Al Hoceïma,Stage,0 à 2 ans,Bac+5 / Master,sur site,3794,Anglais,"Diagnostic, Soins infirmiers, Pharmacologie, Éthique médicale",2024-10-11,40
OFF-0356,FRONTEND DEVELOPER,IT & Tech,CGI Maroc,Marrakech,Marrakech-Safi,cdi,Junior,Bac+5 / Master,présentiel,7500,Français,"Docker, React, Power BI, Python",2024-09-16,12
OFF-0357,Developpeur FullStack,IT & Tech,Accenture Maroc,tanger,Tanger-Tétouan-Al Hoceïma,Stage de fin d'études,5 à 8 ans,Bac+5 / Master,teletravail,3145,Français,SQL; REST API; React; Kubernetes; Python,2024-04-01,45
OFF-0358,INGÉNIEUR PRODUCTION,Industrie,Accenture Maroc,MARRAKECH,Marrakech-Safi,Stagiaire,junior,Sans diplôme requis,Hybride,4974,Français; Arabe,PLC/SCADA / AMDEC,2024-06-16,37
OFF-0359,Conducteur travaux,BTP,UM6P,Tanjah,Tanger-Tétouan-Al Hoceïma,CONTRAT CDI,2-5 ans,Bac+5 / Master,Télétravail,9700,Français,AutoCAD; Revit; MS Project,2024-08-08,15
OFF-0360,Infirmier,Santé,,Casa,Casablanca-Settat,Freelance,2-5ans,Bac+5 / Master,Full remote,8800,Français; Anglais; Arabe,Diagnostic; Éthique médicale; Pharmacologie; Soins infirmiers,2024-12-29,15
OFF-0361,INFIRMIER,Santé,PwC Maroc,Marrakch,Marrakech-Safi,CONTRAT CDI,5-8 ans,Sans diplôme requis,sur site,10800,Français,Éthique médicale; Soins infirmiers; Pharmacologie,2024-07-30,21
OFF-0362,Médecin,Santé,Lafarge Holcim,Caza,Casablanca-Settat,CDD,Expert,Bac+3,Remote partiel,,Anglais,Éthique médicale - Soins infirmiers,2024-06-12,17
OFF-0363,Paie Manager,Finance & RH,BMCE Bank,Marrakech,Marrakech-Safi,Cdi,5-8 ans,Sans diplôme requis,En présentiel,10500,Anglais,"Excel avancé, Consolidation, SAGE, IFRS, Paie",2024-05-14,30
OFF-0364,Médecin,Santé,PwC Maroc,Meknès,Fès-Meknès,contrat CDI,0-2 ans,Bac+5 / Master,HYBRIDE,12400,Anglais,Diagnostic; Éthique médicale; Soins infirmiers,2025-02-01,43
OFF-0365,Controller,Finance & RH,Label'Vie,Agadir,Souss-Massa,CONTRAT CDI,5/8 ans,Bac+5 / Master,Présentiel,14700,,SAP; SAGE,2024-12-17,41
OFF-0366,Développeur FrontEnd,IT & Tech,PwC Maroc,Casablanca-Settat,Casablanca-Settat,cdi,0-2ans,Bac+2,En présentiel,8800,Français; Anglais,SQL - Docker - Linux,2025-01-09,38
OFF-0367,COMMUNITY MANAGER,Commerce,Ernst & Young Maroc,rabat,Rabat-Salé-Kénitra,contrat CDI,8ans+,BAC+2,présentiel,,Français; Arabe,Salesforce; Analyse de marché; Excel; SEO,2024-03-15,8
OFF-0368,RESPONSABLE COMMERCIAL,Commerce,Renault Maroc,Meknès,Fès-Meknès,CDI,0/2 ans,Bac+5 / Master,Mixte,10100-12120,Anglais,SEO; Excel,2024-05-18,39
OFF-0369,Marketer Digital,Commerce,BMCE Bank,Marrakesh,Marrakech-Safi,C.D.I,Confirmé,Bac+5 / Master,sur site,9600,Français,Salesforce; Google Ads,2025-01-20,21
OFF-0370,DATA ENGINEER,IT & Tech,PEUGEOT MAROC,rabat,Rabat-Salé-Kénitra,Cdi,8ans+,Bac+8 / Doctorat,PRÉSENTIEL,24800,Anglais,MongoDB; AWS; Power BI,2024-12-11,
OFF-0371,DevOps,IT & Tech,Marjane,agadir,Souss-Massa,cdi,0-2ans,Bac+5 / Master,En présentiel,12400,Français; Anglais; Arabe,MongoDB; TensorFlow; Agile/Scrum; REST API,,45
OFF-0372,Médecin,Santé,Peugeot Maroc,AGADIR,Souss-Massa,C.D.I,0-2 ans,Bac+5 / Master,En présentiel,12000,Anglais,"Diagnostic, Éthique médicale, Soins infirmiers, Pharmacologie",2024-04-23,13
OFF-0373,Dat Engineer,IT & TECH,Attijariwafa Bank,Casablanca-Settat,Casablanca-Settat,C.D.I,Expérimenté,Sans diplôme requis,hybride,19800,Anglais,"Power BI, MongoDB, JavaScript, Java",2024-12-13,38 jours
OFF-0374,RESPONSABLE RH,FINANCE & RH,CGI Maroc,Casablanca,Casablanca-Settat,cdd,+ de 8 ans,Bac+2,Mixte,13300,Français; Arabe,Droit du travail / Audit / Consolidation,2024-03-28,45
OFF-0375,pharmacien,Santé,CGI Maroc,Casablanca,,Cdi,Senior,BAC+2,sur site,15600,Anglais,Diagnostic; Pharmacologie; Soins infirmiers; Éthique médicale,11-30-2024,31
OFF-0376,receptionniste hotel,,Alten Maroc,CASABLANCA,,contrat CDI,Débutant,Bac+3,Présentiel,4300-5160,Français; Anglais; Arabe,"Gestion réservations, Accueil client, Langues étrangères, Pack Office",2024-05-07,40
